step,rollout/ep_rew_mean,train/entropy_loss,entropy,algorithm,condition,safety,seed,experiment,run_id
26122,-228.67282752557034,-2.684126474166583,2.684126474166583,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
28128,-238.1642897654507,-2.6843398887671293,2.6843398887671293,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
30135,-235.85138141677737,-2.6688617188745805,2.6688617188745805,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
32141,-242.78264471200524,-2.642142648192672,2.642142648192672,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
34147,-243.9978163205248,-2.634572553895437,2.634572553895437,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
36153,-239.16640081023831,-2.62350534108684,2.62350534108684,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
38160,-239.0510613240521,-2.603482549240327,2.603482549240327,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
40166,-243.04307153197084,-2.5924403877970614,2.5924403877970614,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
42172,-244.90845666200968,-2.576649402586072,2.576649402586072,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
44178,-241.52505359999594,-2.567254642864322,2.567254642864322,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
46184,-243.6189270287838,-2.5637787641346255,2.5637787641346255,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
48191,-242.08343512530163,-2.569140776173789,2.569140776173789,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
50197,-241.4034863409002,-2.5436494818344424,2.5436494818344424,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
52203,-243.07600119722247,-2.55451150894188,2.55451150894188,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
54209,-235.5859402949223,-2.5225599445263116,2.5225599445263116,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
56216,-234.3390805932913,-2.5117069633889724,2.5117069633889724,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
58222,-241.3403509948436,-2.5084039556779585,2.5084039556779585,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
60228,-240.31285578637852,-2.501761993204736,2.501761993204736,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
62234,-241.90324356808404,-2.487131039312868,2.487131039312868,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
64240,-238.90019187168983,-2.4775020270179917,2.4775020270179917,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
66247,-240.98872302317042,-2.466136376523661,2.466136376523661,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
68253,-240.79564247874686,-2.4550091997665064,2.4550091997665064,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
70259,-239.04290809151533,-2.456292050148304,2.456292050148304,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
72265,-236.79557195372428,-2.452700391273603,2.452700391273603,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
74272,-239.95429110934114,-2.4411503999695046,2.4411503999695046,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
76278,-240.36055670083576,-2.4421244601591754,2.4421244601591754,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
78284,-240.93551830358427,-2.438015415368353,2.438015415368353,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
80290,-241.68843591986993,-2.437053698904447,2.437053698904447,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
82296,-237.4377615774089,-2.4341902104264563,2.4341902104264563,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
84303,-236.84106323401122,-2.4224990360441283,2.4224990360441283,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
86309,-239.31119307200387,-2.4139042999639164,2.4139042999639164,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
88315,-237.536521161578,-2.412943005221275,2.412943005221275,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
90321,-234.55535491960245,-2.4105300319347176,2.4105300319347176,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
92328,-234.12441051254382,-2.404974343240051,2.404974343240051,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
94334,-236.96658171961673,-2.4002902946997517,2.4002902946997517,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
96340,-237.74978077105013,-2.399050870894951,2.399050870894951,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
98346,-237.01680988114947,-2.391756089050428,2.391756089050428,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
100353,-237.99248529091105,-2.3854135785273662,2.3854135785273662,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
2048,-235.16087683193402,-3.037991083695039,3.037991083695039,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
4054,-229.0256081383762,-2.9986693853299315,2.9986693853299315,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
6060,-223.57566026251288,-2.9645384959788053,2.9645384959788053,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
8066,-215.26024912801557,-2.915957506389962,2.915957506389962,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
10072,-216.314285600046,-2.878727957870206,2.878727957870206,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
12079,-212.04226689917616,-2.8400454537641218,2.8400454537641218,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
14085,-214.108411045966,-2.804270945771294,2.804270945771294,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
16091,-210.74070147583495,-2.758533701351372,2.758533701351372,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
18097,-209.82743021836131,-2.726289912809371,2.726289912809371,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
20104,-206.52934537555794,-2.701486678918476,2.701486678918476,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
22110,-199.60495674343588,-2.6892187510810563,2.6892187510810563,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
24116,-201.32528423138126,-2.669510534452071,2.669510534452071,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
26122,-183.95892759543096,-2.6644807658528706,2.6644807658528706,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
28128,-186.96164102058268,-2.6216409310032858,2.6216409310032858,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
