step,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,algorithm,safety,seed,experiment
782336,-22.167583465576172,-2.714449882507324,12.359999656677246,FP3O,True,seed_0,FP3O_Safety_True
786432,-13.865405082702637,-2.713859796524048,8.520000457763672,FP3O,True,seed_0,FP3O_Safety_True
790528,-25.85843276977539,-2.688950538635254,15.119999885559082,FP3O,True,seed_0,FP3O_Safety_True
794624,-24.163536071777344,-2.695859432220459,13.520000457763672,FP3O,True,seed_0,FP3O_Safety_True
798720,-23.588916778564453,-2.6390891075134277,13.800000190734863,FP3O,True,seed_0,FP3O_Safety_True
802816,-24.065568923950195,-2.6060283184051514,14.859999656677246,FP3O,True,seed_0,FP3O_Safety_True
806912,-14.359036445617676,-2.628025531768799,8.430000305175781,FP3O,True,seed_0,FP3O_Safety_True
811008,-24.173072814941406,-2.6455307006835938,13.4399995803833,FP3O,True,seed_0,FP3O_Safety_True
815104,-25.639101028442383,-2.555243968963623,14.680000305175781,FP3O,True,seed_0,FP3O_Safety_True
819200,-22.38247299194336,-2.577462911605835,12.479999542236328,FP3O,True,seed_0,FP3O_Safety_True
823296,-24.512483596801758,-2.5324316024780273,13.800000190734863,FP3O,True,seed_0,FP3O_Safety_True
827392,-8.415868759155273,-2.488351821899414,5.079999923706055,FP3O,True,seed_0,FP3O_Safety_True
831488,-27.166181564331055,-2.4856491088867188,15.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
835584,-6.780612945556641,-2.4455385208129883,5.389999866485596,FP3O,True,seed_0,FP3O_Safety_True
839680,-22.561687469482422,-2.438783645629883,13.800000190734863,FP3O,True,seed_0,FP3O_Safety_True
843776,-27.47980499267578,-2.438167095184326,15.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
847872,-21.08013153076172,-2.3980376720428467,12.640000343322754,FP3O,True,seed_0,FP3O_Safety_True
851968,-25.528488159179688,-2.4009861946105957,15.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
856064,-22.207948684692383,-2.398510694503784,12.920000076293945,FP3O,True,seed_0,FP3O_Safety_True
860160,-24.48358726501465,-2.343609571456909,14.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
864256,-24.898849487304688,-2.3407325744628906,15.119999885559082,FP3O,True,seed_0,FP3O_Safety_True
868352,-24.181631088256836,-2.3060426712036133,14.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
872448,-24.982324600219727,-2.3033409118652344,15.119999885559082,FP3O,True,seed_0,FP3O_Safety_True
876544,-22.931743621826172,-2.2968738079071045,13.649999618530273,FP3O,True,seed_0,FP3O_Safety_True
880640,-19.546371459960938,-2.3070263862609863,10.949999809265137,FP3O,True,seed_0,FP3O_Safety_True
884736,-15.571816444396973,-2.284189224243164,9.119999885559082,FP3O,True,seed_0,FP3O_Safety_True
888832,-27.022811889648438,-2.2893805503845215,15.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
892928,-13.954001426696777,-2.3113391399383545,8.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
897024,-17.942476272583008,-2.311953544616699,10.489999771118164,FP3O,True,seed_0,FP3O_Safety_True
901120,-11.847695350646973,-2.3402411937713623,7.659999847412109,FP3O,True,seed_0,FP3O_Safety_True
905216,-6.565591812133789,-2.4080772399902344,4.090000152587891,FP3O,True,seed_0,FP3O_Safety_True
909312,-23.62358856201172,-2.424879550933838,12.920000076293945,FP3O,True,seed_0,FP3O_Safety_True
913408,-5.07615852355957,-2.407125234603882,3.7899999618530273,FP3O,True,seed_0,FP3O_Safety_True
917504,-1.9327808618545532,-2.400848627090454,2.069999933242798,FP3O,True,seed_0,FP3O_Safety_True
921600,-5.387669086456299,-2.427020788192749,3.759999990463257,FP3O,True,seed_0,FP3O_Safety_True
925696,-9.378002166748047,-2.5149073600769043,5.900000095367432,FP3O,True,seed_0,FP3O_Safety_True
929792,-5.622992515563965,-2.5325329303741455,3.930000066757202,FP3O,True,seed_0,FP3O_Safety_True
933888,-3.214963912963867,-2.5280168056488037,2.700000047683716,FP3O,True,seed_0,FP3O_Safety_True
937984,-5.840890407562256,-2.4857017993927,4.130000114440918,FP3O,True,seed_0,FP3O_Safety_True
942080,-8.17106819152832,-2.5215978622436523,5.309999942779541,FP3O,True,seed_0,FP3O_Safety_True
946176,-3.3000824451446533,-2.48347544670105,2.7100000381469727,FP3O,True,seed_0,FP3O_Safety_True
950272,-7.030182361602783,-2.475505828857422,4.820000171661377,FP3O,True,seed_0,FP3O_Safety_True
954368,-17.52924156188965,-2.4194283485412598,10.329999923706055,FP3O,True,seed_0,FP3O_Safety_True
958464,-6.408613681793213,-2.3376882076263428,4.25,FP3O,True,seed_0,FP3O_Safety_True
962560,-9.119747161865234,-2.3665060997009277,5.599999904632568,FP3O,True,seed_0,FP3O_Safety_True
966656,-16.244232177734375,-2.4007701873779297,9.369999885559082,FP3O,True,seed_0,FP3O_Safety_True
970752,-19.174606323242188,-2.3349509239196777,11.039999961853027,FP3O,True,seed_0,FP3O_Safety_True
974848,-19.665395736694336,-2.279568910598755,11.600000381469727,FP3O,True,seed_0,FP3O_Safety_True
978944,-25.103975296020508,-2.205376148223877,14.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
983040,-5.66352653503418,-2.228731155395508,4.139999866485596,FP3O,True,seed_0,FP3O_Safety_True
987136,-25.99062728881836,-2.264963388442993,15.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
991232,-24.161026000976562,-2.1874868869781494,14.649999618530273,FP3O,True,seed_0,FP3O_Safety_True
995328,-15.381417274475098,-2.156749963760376,9.460000038146973,FP3O,True,seed_0,FP3O_Safety_True
999424,-14.168227195739746,-2.2511744499206543,8.319999694824219,FP3O,True,seed_0,FP3O_Safety_True
1003520,-23.580923080444336,-2.2105648517608643,13.359999656677246,FP3O,True,seed_0,FP3O_Safety_True
1007616,-11.559678077697754,-2.1938440799713135,7.460000038146973,FP3O,True,seed_0,FP3O_Safety_True
1011712,-13.701379776000977,-2.2318031787872314,8.619999885559082,FP3O,True,seed_0,FP3O_Safety_True
1015808,-24.202482223510742,-2.2187745571136475,14.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
1019904,-26.680150985717773,-2.194253921508789,15.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
1024000,-26.876230239868164,-2.1000053882598877,16.0,FP3O,True,seed_0,FP3O_Safety_True
1028096,-22.5974178314209,-2.173245668411255,13.800000190734863,FP3O,True,seed_0,FP3O_Safety_True
